場所名稱,場所地址,場所經緯度X,場所經緯度Y,場所類型,場所網址,場所描述,AED放置地點,AED經緯度X,AED經緯度Y,AED地點描述,開放使用時間,開放使用時間緊急連絡電話,資料建立時間
國立台灣大學,台北市大安區羅斯福路四段1號,121.537647,25.016872,大專院校,,羅斯福路與新生南路交叉口,園藝加工館,121.537647,25.016872,置於大門進入後左手邊牆壁上,"星期一至星期五 08:30 至 17:30
                星期六  至 
                星期日  至 
                備註:",33664831,2013-11-18 15:27:00.0
宜誠登峰社區管理委員會,桃園縣中壢市長春三路1號,121.24873,24.979737,其他場所,https://www.facebook.com/groups/101787786543396/?fref=ts,,宜誠登峰社區管理委員會,121.24873,24.979737,社區大樓,"星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:星期一至星期日 全天候服務",03-4335421,2014-11-30 17:28:00.0
復興航空運輸股份有限公司,台北市大安區敦化南路二段39號8樓,121.549218,25.031654,航空器,,ATR飛機A/C REG. NO. B-22821,ATR飛機A/C REG. NO. B-22821,121.549218,25.031654,ATR飛機A/C REG. NO. B-22821第20排右方行李櫃,"星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:依據班機時刻表",0960835235,2016-04-26 14:34:00.0
陽明高雄海洋探索館,高雄市旗津區南汕里北汕巷50-61號,120.288965,22.591125,博物館,http://www.mome.org.tw,位於旗津漁港內船舶造型之建築,入口服務台,120.288965,22.591125,入口服務台右側,"星期一至星期五 09:00 至 17:00
                星期六 09:00 至 17:00
                星期日 09:00 至 17:00
                備註:星期一休館",0921-590806,2014-03-30 11:06:00.0
中國科技大學新竹校區,新竹縣湖口鄉中山路三段530號,121.055058,24.919272,大專院校,http://ccnt1.cute.edu.tw/hc/,北湖火車站附近,健心館3F,121.055058,24.919272,健心館3F入口內牆上,"星期一至星期五 08:20 至 21:30
                星期六 13:00 至 21:30
                星期日 09:00 至 17:00
                備註:寒暑假：
星期一至星期五:8:00~17:00
星期六、星期日:不開放",03-6991399,2013-11-12 19:29:00.0
財團法人雲林縣私立同仁仁愛之家,雲林縣林內鄉林茂村復興34號,120.607904,23.750261,其他場所,http://tongren.org.tw,本家懷親樓1樓聯合辦公室旁,本家懷親樓1樓聯合辦公室旁,120.607904,23.750261,本家懷親樓1樓聯合辦公室旁走道,"星期一至星期五 01:00 至 23:00
                星期六 01:00 至 23:00
                星期日 01:00 至 23:00
                備註:",05-5892670,2014-11-21 10:05:00.0
新北市板橋區溪洲國小,新北市板橋區金門街289號,121.430882,24.98734,國小,,,保健室裡面,121.430882,24.98734,位於保健室門邊,"星期一至星期五 07:20 至 16:05
                星期六 08:00 至 16:00
                星期日 08:00 至 16:00
                備註:",02-26867705,2014-08-05 10:48:00.0
台南市殯葬管理所新營福園殯葬專區,台南市新營區長榮路二段468巷303號,120.3076,23.318944,殯儀館,http://www.msotc.gov.tw/main.php?mode=sin_ying&id=56,殯儀館接收室主要受理申請殯儀各項事宜，其人員24小時值班待命。,殯儀館之接收室門口,120.3076,23.318944,放置於新營福園殯儀館之接收室門口飲水機旁,"星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:全天開放",06-6594441,2013-12-11 16:29:00.0
光微動物醫院,台南市新營區健康路32號,120.312568,23.31165,其他場所,,AED位於診療室內右方平台,光微動物醫院,120.312568,23.31165,請向櫃檯人員詢問，放置地點於診療室內右側平台,"星期一至星期五 09:00 至 21:00
                星期六 09:00 至 21:00
                星期日  至 
                備註:例假日休診",06-6350656,2016-10-14 16:11:00.0
桃園國際機場股份有限公司,桃園縣大園鄉航站南路9號,121.231976,25.077012,機場,http://www.taoyuan-airport.com,,南二樓走廊B區昇恆昌服務台,121.231976,25.077012,南二樓走廊B區昇恆昌服務台右側轉角 兌幣機現有位置向右邊(管制區),"星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:",03-2733550,2014-05-17 14:48:00.0
矽品精密工業股份有限公司新竹分公司,新竹縣寶山鄉研發二路1-1號,120.999928,24.775972,其他場所,,矽品精密工業股份有限公司-大廳處,新竹三廠大廳,120.999928,24.775972,放置於大廳接待中心門口左側，電梯前方處,"星期一至星期五 07:20 至 07:20
                星期六 07:20 至 07:20
                星期日 07:20 至 07:20
                備註:24小時待機",03-5787799#3119,2014-06-26 15:40:00.0
欣欣秀泰影城,台北市中山區林森北路247號3~5樓,121.525601,25.05421,電影片映演場所(戲院、電影院),http://www.showtimes.com.tw,,5樓客梯左側,121.525601,25.05421,欣欣秀泰影城5樓客梯左側,"星期一至星期五 09:00 至 04:00
                星期六 09:00 至 04:00
                星期日 09:00 至 04:00
                備註:",02-25371889,2014-07-10 12:57:00.0
柯達大飯店股份有限公司,基隆市中正區義一路7號,121.745167,25.132444,飯店,http://www.khotel.com.tw/,,一樓大廳門口右側,121.745167,25.132444,一樓大廳門口落地窗右側,"星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:全日開放",24230111,2016-04-06 11:22:00.0
雲林縣虎尾鎮立殯儀館暨火葬場管理所,雲林縣虎尾鎮惠來里201號,120.487152,23.72441,殯儀館,http:huwei.tonch.com.tw/01/P01S01.aspx?OP=1,雲林縣虎尾鎮立殯儀館祭火葬場管理所辦公室大廳內,辦公室大廳內,120.487152,23.72441,雲林縣虎尾鎮立殯儀館祭火葬場管理所辦公室大廳內,"星期一至星期五 08:00 至 17:30
                星期六  至 
                星期日  至 
                備註:",056222026,2013-11-11 16:00:00.0
新北市立新泰國民中學,新北市新莊區新泰路359號,121.428476,25.021133,國中,,,新泰國中校門口內側,121.428476,25.021133,"進入新泰國中校門口左側,警衛室外牆上","星期一至星期五 05:00 至 18:30
                星期六 06:00 至 18:30
                星期日 06:00 至 18:30
                備註:",2996-0745,2014-10-27 11:52:00.0
東南亞秀泰影城,台北市中正區羅斯福路4段136巷3號,121.535355,25.012775,電影片映演場所(戲院、電影院),,,2樓販賣部旁邊,121.535355,25.012775,2樓販賣部旁邊,"星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:",02-23678999,2015-08-03 23:11:00.0
北嶽廟管理委員辦事處,嘉義市西區北興街57號,120.443142,23.483266,其他場所,,,北嶽廟對面管理委員辦事處,120.443142,23.483266,北嶽廟管理委員辦事處進門客廳牆鄰電視機旁,"星期一至星期五 07:00 至 21:00
                星期六 07:00 至 21:00
                星期日 07:00 至 21:00
                備註:",0972275193,2016-12-30 21:31:00.0
國都淡水營業所,新北市淡水區中正東路2段91號,121.459646,25.152456,其他場所,,,營業所展間,121.459646,25.152456,營業所展間,"星期一至星期五 08:30 至 17:30
                星期六 08:30 至 17:30
                星期日 08:30 至 17:30
                備註:",2809-9301,2014-10-31 16:19:00.0
陸軍後勤指揮部,台北市南港區忠孝東路六段360號,121.591483,25.0496,其他場所,,,忠勤營區2號門,121.591483,25.0496,忠勤營區2號門,"星期一至星期五  至 
                星期六  至 
                星期日  至 
                備註:配合緊急救護供營區內官兵及員工使用，以24小時開放為原則，因考量為軍事重地不另對外開放。",02-26512300,2016-10-13 10:19:00.0
國立台灣大學-醫學校區,台北市中正區仁愛路1段1號,121.519091,25.040582,大專院校,,仁愛路上,醫學國際會議中心,121.520655,25.040772,基因體醫學研究中心大樓南側門入口走道上，駐警值班室前。,"星期一至星期五 08:30 至 17:30
                星期六  至 
                星期日  至 
                備註:",02-23123456*88044,2013-11-18 16:40:00.0
交通大學光復校區女二舍餐廳,新竹市東區大學路1001號,120.999645,24.789071,大專院校,,交通大學光復校區女二舍餐廳,交通大學光復校區女二舍餐廳,120.999645,24.789071,交通大學光復校區女二舍餐廳,"星期一至星期五 01:00 至 23:00
                星期六  至 
                星期日  至 
                備註:戶外,24小時開放",03-5712121#50000,2014-10-29 17:19:00.0
台中市青年高級中學,台中市大里區中湖路100號,120.693466,24.086931,高中職,,,實習處,120.693466,24.086931,電子資訊科科辦門後方,"星期一至星期五 07:30 至 22:00
                星期六  至 
                星期日  至 
                備註:星期六、日不開放使用。",04-24954181#518,2013-10-28 16:08:00.0
廣三崇光國際開發股份有限公司,台中市西區台灣大道二段459號,120.662053,24.155141,百貨業,http:// www.kssogo.com.tw,,15F,120.662053,24.155141,手扶梯旁,"星期一至星期五 11:00 至 22:00
                星期六 10:30 至 22:00
                星期日 10:30 至 22:00
                備註:",,2016-10-03 17:04:00.0
致茂電子股份有限公司林口總公司,桃園市龜山區華亞一路66號,121.372917,25.040833,其他場所,,電子零組件製造業,研發棟一樓大廳,121.372917,25.040833,研發棟一樓櫃檯右前方大門旁位置,"星期一至星期五 08:00 至 18:00
                星期六 08:00 至 18:00
                星期日 08:00 至 18:00
                備註:該裝置均未上鎖，便於緊急狀況發生時能及時使用。",03-3279999#8063,2016-01-07 17:28:00.0
屏東縣立枋寮高級中學,屏東縣枋寮鄉新龍村義民路3號,120.590883,22.370399,高中職,http://www.flhs.ptc.edu.tw/bin/home.php,,健康中心前走廊,120.591039,22.372113,屏東縣立枋寮高級中學健康中心前走廊,"星期一至星期五 08:00 至 17:10
                星期六  至 
                星期日  至 
                備註:",08-8782095#28,2014-02-18 13:33:00.0
鼓山區衛生所,高雄市鼓山區登山街16號,120.274055,22.623534,其他場所,,,1樓大廳,120.274055,22.623534,左側牆角,"星期一至星期五 08:00 至 17:30
                星期六  至 
                星期日  至 
                備註:",07-5315753,2016-08-10 16:59:00.0
國立彰化特殊教育學校,彰化縣社頭鄉中山路一段306號,120.584279,23.892698,高中職,http://www.chsmr.chc.edu.tw,行政大樓健康中心,行政大樓健康中心,120.584521,23.893047,行政大樓健康中心,"星期一至星期五 08:00 至 16:00
                星期六  至 
                星期日  至 
                備註:",0800-1630,2013-10-28 13:22:00.0
台灣高速鐵路公司,台北市南港區經貿二路66號,121.61647,25.057297,高鐵,,,32號車列車長室(6.7車間),121.61647,25.057297,營運列車列車長室,"星期一至星期五 06:30 至 23:30
                星期六 06:30 至 23:30
                星期日 06:30 至 23:30
                備註:",07-960-1000,2014-05-16 16:47:00.0
新北市立圖書館三重崇德分館,新北市三重區仁孝街62號2樓,121.497344,25.074652,圖書館,,,2樓櫃檯旁,121.497344,25.074652,二樓入門書庫服務台旁,"星期一至星期五 08:30 至 21:00
                星期六 08:30 至 21:00
                星期日 08:30 至 17:00
                備註:星期日和星期一開放時間為8:30至17:00",(02)2973-6987,2014-07-25 17:43:00.0
駁二藝術特區,高雄市鹽埕區大勇路1號,120.281658,22.619976,文化園區,http://pier-2.khcc.gov.tw/content/index.aspx,駁二藝術特區C5倉庫,駁二藝術特區C5倉庫,120.281658,22.619976,駁二藝術特區C5倉庫內服務台旁,"星期一至星期五 10:00 至 18:00
                星期六 10:00 至 20:00
                星期日 10:00 至 20:00
                備註:星期一至四為平日,開放時間:1000-1800
星期五至日為假日,開放時間:1000-2000
除夕初一休館",5214899,2014-05-22 15:54:00.0
花蓮縣壽豐鄉樹湖社區活動中心,花蓮縣壽豐鄉樹湖村大樹腳59號,121.483242,23.834626,其他場所,,,花蓮縣壽豐鄉樹湖社區活動中心,121.483242,23.834626,花蓮縣壽豐鄉樹湖社區活動中心,"星期一至星期五 08:00 至 18:00
                星期六  至 
                星期日  至 
                備註:",03-8652131,2014-01-02 20:03:00.0
臺北市立動物園,台北市文山區新光路2段30號,121.581036,24.998347,其他場所,,,大門入口服務台,121.581036,24.998347,服務台後方,"星期一至星期五 09:00 至 17:00
                星期六 08:30 至 17:00
                星期日 08:30 至 17:00
                備註:",02-29382300-613,2014-01-07 12:02:00.0
北都汽車股份有限公司-大安所廠,台北市大安區和平東路二段128號,121.543701,25.024602,其他場所,,,A廠出入口,121.543701,25.024602,A場與結帳櫃台間出入處,"星期一至星期五 08:30 至 17:30
                星期六 08:30 至 17:30
                星期日 08:30 至 17:30
                備註:",02-27329295,2015-01-20 11:36:00.0
勞動部勞動力發展署中彰投分署,台中市西屯區工業1路100號,120.587457,24.17605,其他場所,,,行政大樓地下1樓,120.587457,24.17605,行政大樓地下1樓,"星期一至星期五 08:00 至 17:00
                星期六 00:00 至 00:00
                星期日 00:00 至 00:00
                備註:",04-2359-2181*1616,2013-12-05 17:11:00.0
新竹縣竹東鎮衛生所,新竹縣竹東鎮中正路221號,121.09301,24.735789,其他場所,,竹東衛生所1樓大廳,新竹縣竹東鎮衛生所,121.09301,24.735789,新竹縣竹東鎮衛生所,"星期一至星期五 08:00 至 17:00
                星期六  至 
                星期日  至 
                備註:",(03)5943566,2015-07-15 10:28:00.0
國立交通大學台北分部,台北市中正區忠孝西路1段118號,121.512032,25.047273,大專院校,,大門口走進到警衛室的電腦後方放置aed,警衛室內,121.511884,25.047245,警衛室電腦後面置放aed,"星期一至星期五 08:00 至 17:00
                星期六 07:30 至 22:30
                星期日 08:00 至 18:00
                備註:國定假日公休",02-23494916,2013-09-05 10:34:00.0
基隆市私立二信高級中學,基隆市中正區立德路243號,121.771749,25.143458,高中職,,,文創大樓門口,121.771749,25.143458,文創大樓二樓大門口旁,"星期一至星期五 07:30 至 16:20
                星期六  至 
                星期日  至 
                備註:",02-24623131#609,2016-11-29 15:14:00.0
健行科技大學,桃園縣中壢市健行路229號,121.226951,24.948113,大專院校,http://www.uch.edu.tw,,體育館_入口處,121.226951,24.948113,放置於體育館入口處之牆邊,"星期一至星期五 08:00 至 22:00
                星期六 08:00 至 17:00
                星期日  至 
                備註:星期日全天管制無開放",03-4581196轉3561,2013-12-18 11:03:00.0
花蓮縣新城鄉康樂國民小學,花蓮縣新城鄉康樂村康樂一街38號,121.607801,24.052559,國小,http://www.klps.hlc.edu.tw/,位於康樂村，康樂國小,辦公室走廊,121.607801,24.052559,進學校穿堂後，左轉走廊上。,"星期一至星期五 00:00 至 12:00
                星期六 00:00 至 12:00
                星期日 00:00 至 12:00
                備註:全天",03-8265597,2016-11-01 12:48:00.0
新北市立柑園國中,新北市樹林區柑園街二段125號,121.384187,24.954707,國中,,,本校健康中心前走廊,121.384187,24.954707,本校AED設置於健康中心前走廊，放置於伸手往前即可觸摸到的顯眼樑柱上。,"星期一至星期五 07:00 至 17:00
                星期六 07:00 至 17:00
                星期日 07:00 至 17:00
                備註:",02-26801958,2014-09-30 11:44:00.0
新竹縣北埔鄉衛生所,新竹縣北埔鄉北埔街90號,121.055265,24.700396,其他場所,,,北埔鄉衛生所,121.055265,24.700396,北埔鄉衛生所1F,"星期一至星期五 08:00 至 17:00
                星期六  至 
                星期日  至 
                備註:星期二17：00~20：00",03-5802304,2014-08-14 11:02:00.0
TOP運動健身俱樂部,台北市大安區忠孝東路四段285號4樓之3,121.55413,25.04169,健身房,,,櫃台左走方,121.55413,25.04169,門口進去左手邊,"星期一至星期五 06:00 至 23:00
                星期六 06:00 至 23:00
                星期日 06:00 至 23:00
                備註:",02-87710314,2015-01-30 12:47:00.0
臺北市奎山實驗高級中等學校,台北市北投區明德路200號,121.522085,25.112701,高中職,http://www.ksjh.tp.edu.tw/,,健康中心,121.522085,25.112701,臺北市奎山實驗高級中等學校健康中心,"星期一至星期五 08:00 至 17:30
                星期六 00:00 至 00:00
                星期日 00:00 至 00:00
                備註:本校園不對外開放使用",0977075544,2016-10-12 09:31:00.0
台灣日東電工股份有限公司第三工廠,高雄市前鎮區中六路5號,120.291389,22.599305,其他場所,,工場棟#12塗工機卷取室,工場棟1F,120.291389,22.599305,#12塗工機卷取室,"星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:全天候開放使用",(07) 821-3106 #380,2016-06-29 11:18:00.0
臺中市葫蘆墩文化中心,台中市豐原區圓環東路782號,120.73019,24.25281,圖書館,http://ww.huludun.taichung.gov.tw/,,前門入口左側牆上,120.73019,24.25281,前門入口左側牆上,"星期一至星期五 09:00 至 20:00
                星期六 09:00 至 20:00
                星期日 09:00 至 17:30
                備註:星期一休館",04-25260136轉9,2013-10-17 10:53:00.0
高雄市左營區屏山國民小學,高雄市左營區海功東路2號,120.291652,22.687736,大專院校,http://www.psps.kh.edu.tw/,,屏山國小天鵝穿堂,120.291652,22.687736,屏山國小1樓天鵝穿堂,"星期一至星期五 07:00 至 18:00
                星期六 07:00 至 18:00
                星期日 07:00 至 18:00
                備註:",07-5834501*121,2016-05-05 12:17:00.0
臺中市政府客家事務委員會土牛客家文化館,台中市石岡區豐勢路德成巷10號,121.558914,25.059166,文化園區,,臺中市豐勢路德成巷10號,土牛客家文化館章崧廳,121.558914,25.059166,土牛客家文化館章崧廳,"星期一至星期五 09:00 至 17:00
                星期六 09:00 至 17:00
                星期日 09:00 至 17:00
                備註:星期一休息",25825312,2013-10-09 11:01:00.0
新生醫護管理專科學校,桃園縣龍潭鄉中豐路高平段418號,121.206772,24.832555,大專院校,,,行政大樓1樓,121.206772,24.832555,健康中心門口,"星期一至星期五  至 
                星期六  至 
                星期日  至 
                備註:",03-4117578*351,2013-10-24 14:04:00.0
耕莘健康管理專科學校,宜蘭縣三星鄉尚武村健富路2段407號,121.661525,24.674069,大專院校,,第二教學樓,第二教學樓,121.661525,24.674069,第二教學樓一樓川堂,"星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:",9891178*7532,2015-11-26 11:33:00.0
龍華科技大學,桃園縣龜山鄉萬壽路一段300號,121.40291,25.01744,大專院校,,,龍華科技大學管理學院3樓入口右側,121.40291,25.01744,龍華科技大學管理學院3樓入口右側,"星期一至星期五 07:20 至 22:20
                星期六 07:20 至 22:20
                星期日 07:20 至 22:20
                備註:",02-8209-3211,2014-12-27 14:25:00.0
國立清華大學,新竹市東區光復路二段101號,120.996665,24.796442,大專院校,,,國立清華大學台達館,120.996665,24.796442,"GPS:24.79591 , 120.99211","星期一至星期五 07:00 至 17:30
                星期六  至 
                星期日  至 
                備註:",03-5714769,2014-03-18 13:22:00.0
彰化縣和東國民小學,彰化縣和美鎮彰美路五段210號,120.501623,24.10871,國小,http://163.23.93.65/xoops2/,彰美路五段和美家扶中心旁,和東國小篤行樓,120.501623,24.10871,篤行樓輔導室旁樓梯間,"星期一至星期五 07:00 至 19:00
                星期六 00:00 至 00:00
                星期日 00:00 至 00:00
                備註:學生上學及校園開放時間",04-7552724,2015-05-27 23:13:00.0
臺灣鐵路管理局桃園火車站,桃園市桃園區中正路1號,121.303912,25.00567,台鐵車站,http://www.railway.gov.tw/taoyuan/,,2樓大廳通往2月台手扶梯前,121.303912,25.00567,2樓大廳通往2月台手扶梯前,"星期一至星期五 04:30 至 23:59
                星期六 04:30 至 23:59
                星期日 04:30 至 23:59
                備註:",03-3767050,2014-08-21 15:45:00.0
長榮航空股份有限公司,桃園縣大園鄉新南路一段376號,121.297197,25.040617,航空器,,,長榮客機,121.297197,25.040617,"A321-200: besides R3 door crew seatA330-200:FWD side wall of L2 doorA330-300:FWD side wall of L1 doorB747-COMBI: AFT side wall of L2 doorB747-400:FWD side wall of L2 doorB777A:Wall beside R2 door crew seatB777N: Wall beside R2 door crew seat","星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:依據班機時刻表",03-3516152,2014-07-29 17:43:00.0
雲林縣立西螺國民中學,雲林縣西螺鎮興農西路217號,120.460521,23.792297,國中,http://www.sljhs.ylc.edu.tw/xoops/,,健康中心,120.460521,23.792297,健康中心前門一進去左側,"星期一至星期五 07:30 至 17:00
                星期六  至 
                星期日  至 
                備註:",05-5863522轉071,2015-03-20 14:59:00.0
銘傳大學桃園校區,桃園市龜山區德明路5號圖書館大樓一樓,121.344205,24.985144,大專院校,http://www.mcu.edu.tw,銘傳大學桃園校區圖書館大樓一樓近明園電話亭旁,銘傳大學桃園校區,121.344205,24.985144,圖書館大樓一樓近明園電話亭旁,"星期一至星期五 08:00 至 22:00
                星期六 08:00 至 17:00
                星期日 08:00 至 17:00
                備註:",03-3507001*9,2013-11-20 16:24:00.0
財政部北區國稅局,桃園市桃園區三元街156號,121.321741,25.003608,其他場所,http://www.ntbna.gov.tw/etwmain/,,1樓民眾休息室及大廳,121.321741,25.003608,1樓民眾休息室及大廳,"星期一至星期五 08:00 至 17:00
                星期六  至 
                星期日  至 
                備註:",3396789分機1820,2014-10-22 15:59:00.0
金門縣金湖鎮多年國民小學,金門縣金湖鎮環島東路四段600號,118.452708,24.448684,機場,,,金門縣金湖鎮多年國民小學,118.452708,24.448684,金門縣金湖鎮多年國民小學,"星期一至星期五 07:00 至 17:00
                星期六 07:00 至 17:00
                星期日 07:00 至 17:00
                備註:上班日",082-332470,2016-07-01 09:35:00.0
國立高雄應用科技大學,高雄市三民區建工路415號,120.328657,22.651767,大專院校,,,大門警衛室,120.328657,22.651767,警衛室西側外牆上,"星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:",07-3814526#2660,2014-09-16 17:59:00.0
台中市私立慎齋國小,台中市北屯區山西路2段270號,120.676871,24.175869,國小,http://www.sces.tc.edu.tw/index2.htm,"北屯區文心路4段山西路口緊鄰慎齋堂",健康中心外面,120.676871,24.175869,進入校門口左邊走道走到底,"星期一至星期五 08:00 至 17:00
                星期六 00:00 至 00:00
                星期日 00:00 至 00:00
                備註:",04-22928199*707,2013-10-21 10:57:00.0
臺北捷運中山站G16,台北市大同區南京西路55號,121.520331,25.052654,捷運站,http://www.trtc.com.tw/ct.asp?xItem=78479152&CtNode=70089&mp=122035,臺北捷運中山站,B1大廳層,121.520331,25.052654,B1大廳層，近5、6號出口,"星期一至星期五 06:00 至 00:00
                星期六 06:00 至 00:00
                星期日 06:00 至 00:00
                備註:",02-21812345,2015-01-08 15:38:00.0
北門朝陽二里聯合活動中心(原朝陽公園管理中心),桃園縣桃園市朝陽街63號,121.320861,24.974804,其他場所,,,1樓櫃台後方,121.320861,24.974804,1樓櫃台後方,"星期一至星期五 09:00 至 17:00
                星期六 09:00 至 17:00
                星期日 00:00 至 00:00
                備註:星期日不開放",03-3324694,2014-12-29 13:31:00.0
陽大附醫東岳復健站,宜蘭縣南澳鄉蘇花路3段141號,121.831499,24.518868,其他場所,,,東岳復健站櫃檯旁,121.831499,24.518868,入門口櫃檯旁,"星期一至星期五 13:00 至 19:00
                星期六 00:00 至 00:00
                星期日 00:00 至 00:00
                備註:",039325192*2123,2014-04-09 18:54:00.0
台灣家樂福股份有限公司太平店,台中市太平區中平七街70號,120.719433,24.125042,賣場,,,家樂福太平店,120.719433,24.125042,服務中心,"星期一至星期五 09:00 至 22:30
                星期六 09:00 至 22:30
                星期日 09:00 至 22:30
                備註:",04-22778068#9,2014-04-10 10:32:00.0
國立臺北教育大學,台北市大安區和平東路二段134號,121.544207,25.02224,大專院校,https://zh-tw.facebook.com/cjsportscenter,學校裡附屬的游泳池，位於正門口進入學校的右後方。,泳健館內泳池入口櫃臺後方,121.544207,25.02224,泳健館內泳池入口櫃臺後方,"星期一至星期五 05:30 至 22:00
                星期六 05:30 至 22:00
                星期日 05:30 至 22:00
                備註:",02-27331588,2015-03-24 11:14:00.0
臺北市立民權國民中學,台北市大同區重慶北路3段1號,121.51382,25.063772,國中,http://www.mqjh.tp.edu.tw/,,秝秧樓1樓,121.51382,25.063772,健康中心裡面後門的牆邊。,"星期一至星期五 08:00 至 17:00
                星期六 00:00 至 00:00
                星期日 00:00 至 00:00
                備註:1.寒暑假開放時間 8:00-12:00
2.國定假日及因颱風不上班時不開放。",(02)25931951-125,2016-10-12 12:53:00.0
交通部民用航空局臺北國際航空站(松山機場)-3樓全區,台北市松山區敦化北路340-9號,121.550637,25.064152,機場,,,3樓觀景台,121.550637,25.064152,男廁前方,"星期一至星期五 05:00 至 23:00
                星期六 05:00 至 23:00
                星期日 05:00 至 23:00
                備註:",(02)8770-3550,2013-10-24 14:37:00.0
藍天大樓,新北市三重區興德路129號,121.470239,25.053103,其他場所,,,藍天大樓一樓大廳,121.470251,25.0531,一樓接待櫃台旁,"星期一至星期五 00:00 至 23:00
                星期六 00:00 至 23:00
                星期日 00:00 至 23:00
                備註:全天候給即時需要緊急之使用",2278-9696,2016-08-08 13:59:00.0
中國人壽保險股份有限公司-總公司,台北市松山區敦化北路122號,121.548513,25.053985,其他場所,,"長春路敦化北路口長春路敦化北路口",1樓大廳,121.548513,25.053985,1樓大廳,"星期一至星期五 07:50 至 18:50
                星期六  至 
                星期日  至 
                備註:",02-27196678*1111,2015-04-10 14:14:00.0
金色三麥餐飲股份有限公司-南港店,台北市南港區忠孝東路7段299號C棟1樓,121.605048,25.052672,其他場所,,,南港店門口,121.605048,25.052672,入口處左側門後,"星期一至星期五 12:00 至 00:00
                星期六 12:00 至 01:00
                星期日 12:00 至 01:00
                備註:",(02)2782-7000,2016-11-02 11:59:00.0
花蓮縣立體育實驗高級中學,花蓮縣花蓮市達固湖灣大路21號,121.583998,24.00417,高中職,,,進大門左側,121.583998,24.00417,進大門左側,"星期一至星期五 07:00 至 21:00
                星期六  至 
                星期日  至 
                備註:",03-8462610*210,2014-01-15 15:30:00.0
華亞科技股份有限公司,桃園市龜山區復興三路667號,121.373601,25.038425,其他場所,,,FAB2通道,121.373601,25.038425,FAB1往FAB2通道,"星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:",3119,2015-05-09 10:10:00.0
苗栗縣苗栗市衛生所,苗栗縣苗栗市建民街28號,120.824952,24.565919,其他場所,,,苗栗市衛生所二樓,120.824952,24.565919,放置二樓預防注射室入口左手邊,"星期一至星期五 07:00 至 17:00
                星期六  至 
                星期日  至 
                備註:",037-277129,2013-10-15 17:07:00.0
臺中市西區忠孝國民小學,台中市西區三民路一段171號,120.674124,24.137413,國小,http://www.jses.tc.edu.tw/,,本校警衛室,120.674124,24.137413,目標顯著，方便民眾公開取用。,"星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:",04-22242161,2013-10-17 16:40:00.0
高雄捷運前鎮高中站,高雄市前鎮區翠亨北路225號地下一樓,120.321767,22.588238,捷運站,http://www.krtco.com.tw,,高雄捷運前鎮高中站R5,120.321767,22.588238,R5穿堂層服務台前火警受信總機旁,"星期一至星期五 05:50 至 00:50
                星期六 05:50 至 00:50
                星期日 05:50 至 00:50
                備註:管理員姓名：廖峻德。
開放時間緊急聯絡電話：(07)7939666轉10501",(07)7939666,2013-12-04 15:51:00.0
遠東航空股份有限公司,台北市松山區敦化北路405巷123弄5號,121.555896,25.062695,航空器,,,2排AB行李櫃內,121.555896,25.062695,"遠東航空MD-80飛機A/C REG.NO.B-28007","星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:",02-2712-1555*5821,2014-05-27 17:51:00.0
嘉義市北園國民小學,嘉義市西區北社尾路168號,120.425426,23.494531,國小,,,健康中心,120.425949,23.494421,健康中心門內側,"星期一至星期五 07:30 至 16:30
                星期六  至 
                星期日  至 
                備註:例假日不開放使用",05-2371330#118,2014-04-29 15:43:00.0
苗栗縣立體育館,苗栗縣苗栗市建功里中正路191號,120.824344,24.565392,體育館(如小巨蛋),http://www.miaoli.gov.tw/county_stadium/index.php,,苗栗縣立體育館,120.824344,24.565392,體育館正門大廳,"星期一至星期五 08:00 至 17:00
                星期六  至 
                星期日  至 
                備註:",0930101116,2013-10-17 15:33:00.0
臺中市北屯區軍功衛生所,台中市北屯區軍功路二段16號,120.719423,24.176353,其他場所,http://203.65.42.172/taichungcity8/portal/PortalHome.asp,,一樓門診,120.719423,24.176353,一樓候診明顯處,"星期一至星期五 08:00 至 17:30
                星期六  至 
                星期日  至 
                備註:",0422392638,2014-07-11 12:53:00.0
